year,fatalities,fatal_collisions,metric,grouping,variable,geography,population,fatality_rate,fatal_collision_rate
2014,0,0,5-year average for fatal collisions,All,Census Tracts,53035091100,4530,0,0
2014,0,0,5-year average for fatal collisions,All,Census Tracts,53035091201,3930,0,0
2014,0,0,5-year average for fatal collisions,All,Census Tracts,53035091203,7656,0,0
2014,0,0,5-year average for fatal collisions,All,Census Tracts,53035091301,4296,0,0
2014,0,0,5-year average for fatal collisions,All,Census Tracts,53035091302,5592,0,0
2014,0,0,5-year average for fatal collisions,All,Census Tracts,53035091400,3354,0,0
2014,0,0,5-year average for fatal collisions,All,Census Tracts,53035091700,8131,0,0
2014,0,0,5-year average for fatal collisions,All,Census Tracts,53035091900,4488,0,0
2014,0,0,5-year average for fatal collisions,All,Census Tracts,53035092000,6032,0,0
2014,1,1,5-year average for fatal collisions,All,Census Tracts,53035092100,6990,14.306151645207438,14.306151645207438
2014,0,0,5-year average for fatal collisions,All,Census Tracts,53035092400,6125,0,0
2014,1,0,5-year average for fatal collisions,All,Census Tracts,53035092500,5309,18.835938971557734,0
2014,0,0,5-year average for fatal collisions,All,Census Tracts,53035092600,5761,0,0
2014,0,0,5-year average for fatal collisions,All,Census Tracts,53035092701,4090,0,0
2014,0,0,5-year average for fatal collisions,All,Census Tracts,53035092704,2994,0,0
2014,0,0,5-year average for fatal collisions,All,Census Tracts,53035092802,3980,0,0
2014,0,0,5-year average for fatal collisions,All,Census Tracts,53035092803,2713,0,0
2014,1,1,5-year average for fatal collisions,All,Census Tracts,53035092901,5409,18.487705675725643,18.487705675725643
2014,0,0,5-year average for fatal collisions,All,Census Tracts,53035092902,5508,0,0
2014,1,1,5-year average for fatal collisions,All,Census Tracts,53035940100,6117,16.347882949158084,16.347882949158084
2014,1,1,5-year average for fatal collisions,All,Census Tracts,53053060200,665,150.37593984962407,150.37593984962407
2014,0,0,5-year average for fatal collisions,All,Census Tracts,53053060300,4166,0,0
2014,0,0,5-year average for fatal collisions,All,Census Tracts,53053060400,4009,0,0
2014,0,0,5-year average for fatal collisions,All,Census Tracts,53053060600,5579,0,0
2014,0,0,5-year average for fatal collisions,All,Census Tracts,53053060905,6437,0,0
2014,0,0,5-year average for fatal collisions,All,Census Tracts,53053061002,4192,0,0
2014,0,0,5-year average for fatal collisions,All,Census Tracts,53053061100,6934,0,0
2014,0,0,5-year average for fatal collisions,All,Census Tracts,53053061400,4058,0,0
2014,0,0,5-year average for fatal collisions,All,Census Tracts,53053061500,4962,0,0
2014,0,0,5-year average for fatal collisions,All,Census Tracts,53053061601,1900,0,0
2014,0,0,5-year average for fatal collisions,All,Census Tracts,53053061602,867,0,0
2014,0,0,5-year average for fatal collisions,All,Census Tracts,53053061900,1826,0,0
2014,0,0,5-year average for fatal collisions,All,Census Tracts,53053062400,5451,0,0
2014,0,0,5-year average for fatal collisions,All,Census Tracts,53053062500,8187,0,0
2014,0,0,5-year average for fatal collisions,All,Census Tracts,53053062600,3020,0,0
2014,0,0,5-year average for fatal collisions,All,Census Tracts,53053063000,3121,0,0
2014,0,0,5-year average for fatal collisions,All,Census Tracts,53053063300,8319,0,0
2014,0,0,5-year average for fatal collisions,All,Census Tracts,53053063502,4944,0,0
2014,1,1,5-year average for fatal collisions,All,Census Tracts,53053070100,3334,29.994001199760046,29.994001199760046
2014,0,0,5-year average for fatal collisions,All,Census Tracts,53053070203,5584,0,0
2014,0,0,5-year average for fatal collisions,All,Census Tracts,53053070205,3193,0,0
2014,0,0,5-year average for fatal collisions,All,Census Tracts,53053070206,3817,0,0
2014,1,1,5-year average for fatal collisions,All,Census Tracts,53053070207,4846,20.635575732562938,20.635575732562938
2014,0,0,5-year average for fatal collisions,All,Census Tracts,53053070307,5125,0,0
2014,0,0,5-year average for fatal collisions,All,Census Tracts,53053070308,3363,0,0
2014,0,0,5-year average for fatal collisions,All,Census Tracts,53053070309,5227,0,0
2014,0,0,5-year average for fatal collisions,All,Census Tracts,53053070310,5230,0,0
2014,0,0,5-year average for fatal collisions,All,Census Tracts,53053070311,5072,0,0
2014,0,0,5-year average for fatal collisions,All,Census Tracts,53053070312,5475,0,0
2014,0,0,5-year average for fatal collisions,All,Census Tracts,53053070313,5384,0,0
2014,0,0,5-year average for fatal collisions,All,Census Tracts,53053070316,5028,0,0
2014,0,0,5-year average for fatal collisions,All,Census Tracts,53053070703,6157,0,0
2014,0,0,5-year average for fatal collisions,All,Census Tracts,53053071100,2298,0,0
2014,0,0,5-year average for fatal collisions,All,Census Tracts,53053071206,6899,0,0
2014,0,0,5-year average for fatal collisions,All,Census Tracts,53053071207,6472,0,0
2014,0,0,5-year average for fatal collisions,All,Census Tracts,53053071304,5695,0,0
2014,0,0,5-year average for fatal collisions,All,Census Tracts,53053071305,3773,0,0
2014,1,0,5-year average for fatal collisions,All,Census Tracts,53053071306,6470,15.45595054095827,0
2014,0,0,5-year average for fatal collisions,All,Census Tracts,53053071307,4612,0,0
2014,0,0,5-year average for fatal collisions,All,Census Tracts,53053071309,4231,0,0
2014,0,0,5-year average for fatal collisions,All,Census Tracts,53053071403,3875,0,0
2014,0,0,5-year average for fatal collisions,All,Census Tracts,53053071406,7206,0,0
2014,0,0,5-year average for fatal collisions,All,Census Tracts,53053071407,6802,0,0
2014,0,0,5-year average for fatal collisions,All,Census Tracts,53053071408,3905,0,0
2014,0,0,5-year average for fatal collisions,All,Census Tracts,53053071409,4637,0,0
2014,0,0,5-year average for fatal collisions,All,Census Tracts,53053071410,6867,0,0
2014,0,0,5-year average for fatal collisions,All,Census Tracts,53053071411,5139,0,0
2014,0,0,5-year average for fatal collisions,All,Census Tracts,53053071503,5412,0,0
2014,0,0,5-year average for fatal collisions,All,Census Tracts,53053071505,5140,0,0
2014,0,0,5-year average for fatal collisions,All,Census Tracts,53053071601,4796,0,0
2014,1,0,5-year average for fatal collisions,All,Census Tracts,53053071602,6533,15.30690341343946,0
2014,0,0,5-year average for fatal collisions,All,Census Tracts,53053071704,5045,0,0
2014,0,0,5-year average for fatal collisions,All,Census Tracts,53053071705,4099,0,0
2014,0,0,5-year average for fatal collisions,All,Census Tracts,53053071706,1821,0,0
2014,0,0,5-year average for fatal collisions,All,Census Tracts,53053071707,2813,0,0
2014,0,0,5-year average for fatal collisions,All,Census Tracts,53053071803,5407,0,0
2014,0,0,5-year average for fatal collisions,All,Census Tracts,53053071806,4117,0,0
2014,0,0,5-year average for fatal collisions,All,Census Tracts,53053071807,3597,0,0
2014,0,0,5-year average for fatal collisions,All,Census Tracts,53053071902,4998,0,0
2014,0,0,5-year average for fatal collisions,All,Census Tracts,53053072305,5972,0,0
2014,0,0,5-year average for fatal collisions,All,Census Tracts,53053072308,7841,0,0
2014,0,0,5-year average for fatal collisions,All,Census Tracts,53053072405,4343,0,0
2014,0,0,5-year average for fatal collisions,All,Census Tracts,53053072407,4713,0,0
2014,0,0,5-year average for fatal collisions,All,Census Tracts,53053072408,5907,0,0
2014,0,0,5-year average for fatal collisions,All,Census Tracts,53053072410,3556,0,0
2014,0,0,5-year average for fatal collisions,All,Census Tracts,53053072504,5065,0,0
2014,0,0,5-year average for fatal collisions,All,Census Tracts,53053072505,7254,0,0
2014,0,0,5-year average for fatal collisions,All,Census Tracts,53053072601,5357,0,0
2014,0,0,5-year average for fatal collisions,All,Census Tracts,53053072602,4346,0,0
2014,0,0,5-year average for fatal collisions,All,Census Tracts,53053072603,4970,0,0
2014,1,1,5-year average for fatal collisions,All,Census Tracts,53053072906,1977,50.58168942842691,50.58168942842691
2014,0,0,5-year average for fatal collisions,All,Census Tracts,53053072907,5966,0,0
2014,0,0,5-year average for fatal collisions,All,Census Tracts,53053073001,5895,0,0
2014,0,0,5-year average for fatal collisions,All,Census Tracts,53053073005,5434,0,0
2014,1,1,5-year average for fatal collisions,All,Census Tracts,53053073006,3483,28.710881424059718,28.710881424059718
2014,0,0,5-year average for fatal collisions,All,Census Tracts,53053073108,8023,0,0
2014,0,0,5-year average for fatal collisions,All,Census Tracts,53053073113,6958,0,0
2014,0,0,5-year average for fatal collisions,All,Census Tracts,53053073114,5500,0,0
2014,0,0,5-year average for fatal collisions,All,Census Tracts,53053073116,3277,0,0
2014,0,0,5-year average for fatal collisions,All,Census Tracts,53053073117,3868,0,0
2014,0,0,5-year average for fatal collisions,All,Census Tracts,53053073118,4283,0,0
2014,0,0,5-year average for fatal collisions,All,Census Tracts,53053073119,3116,0,0
2014,0,0,5-year average for fatal collisions,All,Census Tracts,53053073123,4877,0,0
2014,0,0,5-year average for fatal collisions,All,Census Tracts,53053073126,4173,0,0
2014,2,2,5-year average for fatal collisions,All,Census Tracts,53053073200,5539,36.10760064993681,36.10760064993681
2014,0,0,5-year average for fatal collisions,All,Census Tracts,53053073301,5888,0,0
2014,0,0,5-year average for fatal collisions,All,Census Tracts,53053073302,3732,0,0
2014,0,0,5-year average for fatal collisions,All,Census Tracts,53053073404,5850,0,0
2014,0,0,5-year average for fatal collisions,All,Census Tracts,53053073406,5024,0,0
2014,0,0,5-year average for fatal collisions,All,Census Tracts,53053073407,3735,0,0
2014,0,0,5-year average for fatal collisions,All,Census Tracts,53053073408,4001,0,0
2014,1,1,5-year average for fatal collisions,All,Census Tracts,53053940002,3787,26.406126221283337,26.406126221283337
2014,0,0,5-year average for fatal collisions,All,Census Tracts,53053940003,7173,0,0
2014,1,1,5-year average for fatal collisions,All,Census Tracts,53053940004,6357,15.730690577316343,15.730690577316343
2014,0,0,5-year average for fatal collisions,All,Census Tracts,53053940007,3125,0,0
2014,0,0,5-year average for fatal collisions,All,Census Tracts,53053940009,2834,0,0
2014,0,0,5-year average for fatal collisions,All,Census Tracts,53053940011,4274,0,0
2014,0,0,5-year average for fatal collisions,All,Census Tracts,53061040100,4324,0,0
2014,0,0,5-year average for fatal collisions,All,Census Tracts,53061040500,2391,0,0
2014,0,0,5-year average for fatal collisions,All,Census Tracts,53061040700,4109,0,0
2014,0,0,5-year average for fatal collisions,All,Census Tracts,53061040800,2468,0,0
2014,0,0,5-year average for fatal collisions,All,Census Tracts,53061041000,5612,0,0
2014,0,0,5-year average for fatal collisions,All,Census Tracts,53061041202,6503,0,0
2014,0,0,5-year average for fatal collisions,All,Census Tracts,53061041304,3012,0,0
2014,1,0,5-year average for fatal collisions,All,Census Tracts,53061041400,5555,18.001800180018,0
2014,0,0,5-year average for fatal collisions,All,Census Tracts,53061041500,1413,0,0
2014,0,0,5-year average for fatal collisions,All,Census Tracts,53061041601,5404,0,0
2014,0,0,5-year average for fatal collisions,All,Census Tracts,53061041606,5499,0,0
2014,0,0,5-year average for fatal collisions,All,Census Tracts,53061041701,4607,0,0
2014,0,0,5-year average for fatal collisions,All,Census Tracts,53061041703,5829,0,0
2014,0,0,5-year average for fatal collisions,All,Census Tracts,53061041704,5252,0,0
2014,0,0,5-year average for fatal collisions,All,Census Tracts,53061041805,5127,0,0
2014,0,0,5-year average for fatal collisions,All,Census Tracts,53061041806,8338,0,0
2014,0,0,5-year average for fatal collisions,All,Census Tracts,53061041808,3804,0,0
2014,0,0,5-year average for fatal collisions,All,Census Tracts,53061041810,4667,0,0
2014,0,0,5-year average for fatal collisions,All,Census Tracts,53061041811,7026,0,0
2014,1,1,5-year average for fatal collisions,All,Census Tracts,53061041812,6051,16.526194017517767,16.526194017517767
2014,0,0,5-year average for fatal collisions,All,Census Tracts,53061041901,4424,0,0
2014,0,0,5-year average for fatal collisions,All,Census Tracts,53061041903,7418,0,0
2014,0,0,5-year average for fatal collisions,All,Census Tracts,53061041905,6015,0,0
2014,0,0,5-year average for fatal collisions,All,Census Tracts,53061042005,5163,0,0
2014,0,0,5-year average for fatal collisions,All,Census Tracts,53061050500,7117,0,0
2014,0,0,5-year average for fatal collisions,All,Census Tracts,53061050700,6303,0,0
2014,0,0,5-year average for fatal collisions,All,Census Tracts,53061051000,4506,0,0
2014,0,0,5-year average for fatal collisions,All,Census Tracts,53061051300,6812,0,0
2014,0,0,5-year average for fatal collisions,All,Census Tracts,53061051400,7267,0,0
2014,0,0,5-year average for fatal collisions,All,Census Tracts,53061051601,4683,0,0
2014,0,0,5-year average for fatal collisions,All,Census Tracts,53061051602,4502,0,0
2014,0,0,5-year average for fatal collisions,All,Census Tracts,53061051701,6004,0,0
2014,0,0,5-year average for fatal collisions,All,Census Tracts,53061051803,5931,0,0
2014,0,0,5-year average for fatal collisions,All,Census Tracts,53061051804,4285,0,0
2014,0,0,5-year average for fatal collisions,All,Census Tracts,53061051905,7992,0,0
2014,0,0,5-year average for fatal collisions,All,Census Tracts,53061051912,2429,0,0
2014,0,0,5-year average for fatal collisions,All,Census Tracts,53061051913,4284,0,0
2014,0,0,5-year average for fatal collisions,All,Census Tracts,53061051914,4181,0,0
2014,0,0,5-year average for fatal collisions,All,Census Tracts,53061051924,6403,0,0
2014,0,0,5-year average for fatal collisions,All,Census Tracts,53061051927,4551,0,0
2014,0,0,5-year average for fatal collisions,All,Census Tracts,53061051928,5015,0,0
2014,0,0,5-year average for fatal collisions,All,Census Tracts,53061052005,5316,0,0
2014,0,0,5-year average for fatal collisions,All,Census Tracts,53061052104,3651,0,0
2014,0,0,5-year average for fatal collisions,All,Census Tracts,53061052105,1785,0,0
2014,0,0,5-year average for fatal collisions,All,Census Tracts,53061052108,6048,0,0
2014,1,0,5-year average for fatal collisions,All,Census Tracts,53061052112,2787,35.88087549336204,0
2014,0,0,5-year average for fatal collisions,All,Census Tracts,53061052203,5422,0,0
2014,0,0,5-year average for fatal collisions,All,Census Tracts,53061052206,4106,0,0
2014,1,0,5-year average for fatal collisions,All,Census Tracts,53061052207,6015,16.62510390689942,0
2014,0,0,5-year average for fatal collisions,All,Census Tracts,53061052208,3821,0,0
2014,0,0,5-year average for fatal collisions,All,Census Tracts,53061052209,5714,0,0
2014,0,0,5-year average for fatal collisions,All,Census Tracts,53061052301,4272,0,0
2014,0,0,5-year average for fatal collisions,All,Census Tracts,53061052302,3939,0,0
2014,0,0,5-year average for fatal collisions,All,Census Tracts,53061052502,4672,0,0
2014,0,0,5-year average for fatal collisions,All,Census Tracts,53061052503,6504,0,0
2014,0,0,5-year average for fatal collisions,All,Census Tracts,53061052504,2190,0,0
2014,0,0,5-year average for fatal collisions,All,Census Tracts,53061052603,2405,0,0
2014,0,0,5-year average for fatal collisions,All,Census Tracts,53061052605,6144,0,0
2014,0,0,5-year average for fatal collisions,All,Census Tracts,53061052607,5948,0,0
2014,0,0,5-year average for fatal collisions,All,Census Tracts,53061052701,1534,0,0
2014,0,0,5-year average for fatal collisions,All,Census Tracts,53061052707,4012,0,0
2014,0,0,5-year average for fatal collisions,All,Census Tracts,53061052709,3251,0,0
2014,0,0,5-year average for fatal collisions,All,Census Tracts,53061052803,5105,0,0
2014,0,0,5-year average for fatal collisions,All,Census Tracts,53061052804,7600,0,0
2014,0,0,5-year average for fatal collisions,All,Census Tracts,53061052805,4328,0,0
2014,0,0,5-year average for fatal collisions,All,Census Tracts,53061052903,3917,0,0
2014,1,0,5-year average for fatal collisions,All,Census Tracts,53061053101,3848,25.987525987525988,0
2014,0,0,5-year average for fatal collisions,All,Census Tracts,53061053102,4510,0,0
2014,0,0,5-year average for fatal collisions,All,Census Tracts,53061053201,3961,0,0
2014,0,0,5-year average for fatal collisions,All,Census Tracts,53061053202,4231,0,0
2014,1,1,5-year average for fatal collisions,All,Census Tracts,53061053302,5545,18.034265103697024,18.034265103697024
2014,1,0,5-year average for fatal collisions,All,Census Tracts,53061053400,5394,18.53911753800519,0
2014,0,0,5-year average for fatal collisions,All,Census Tracts,53061053504,6700,0,0
2014,0,0,5-year average for fatal collisions,All,Census Tracts,53061053505,5201,0,0
2014,1,1,5-year average for fatal collisions,All,Census Tracts,53061053506,5732,17.445917655268666,17.445917655268666
2014,0,0,5-year average for fatal collisions,All,Census Tracts,53061053508,3559,0,0
2014,0,0,5-year average for fatal collisions,All,Census Tracts,53061053604,4502,0,0
2014,1,1,5-year average for fatal collisions,All,Census Tracts,53061053801,3451,28.977108084613157,28.977108084613157
2014,0,0,5-year average for fatal collisions,All,Census Tracts,53061053802,5471,0,0
2014,0,0,5-year average for fatal collisions,All,Census Tracts,53061053803,5479,0,0
2014,1,1,5-year average for fatal collisions,All,Census Tracts,53061940001,6389,15.651901706057286,15.651901706057286
2014,0,0,5-year average for fatal collisions,All,Census Tracts,53061940002,3716,0,0
2015,4,1,5-year average for fatal collisions,All,Census Tracts,0,0,NA,NA
2015,0,0,5-year average for fatal collisions,All,Census Tracts,53033000100,6918,0,0
2015,0,0,5-year average for fatal collisions,All,Census Tracts,53033000600,7674,0,0
2015,1,0,5-year average for fatal collisions,All,Census Tracts,53033001000,2094,47.75549188156638,0
2015,0,0,5-year average for fatal collisions,All,Census Tracts,53033001100,2669,0,0
2015,0,0,5-year average for fatal collisions,All,Census Tracts,53033001200,6556,0,0
2015,0,0,5-year average for fatal collisions,All,Census Tracts,53033001701,4055,0,0
2015,0,0,5-year average for fatal collisions,All,Census Tracts,53033001900,4723,0,0
2015,0,0,5-year average for fatal collisions,All,Census Tracts,53033002400,2994,0,0
2015,0,0,5-year average for fatal collisions,All,Census Tracts,53033002700,6027,0,0
2015,0,0,5-year average for fatal collisions,All,Census Tracts,53033003500,3960,0,0
2015,0,0,5-year average for fatal collisions,All,Census Tracts,53033004400,6607,0,0
2015,0,0,5-year average for fatal collisions,All,Census Tracts,53033004700,8395,0,0
2015,0,0,5-year average for fatal collisions,All,Census Tracts,53033004900,6923,0,0
2015,0,0,5-year average for fatal collisions,All,Census Tracts,53033005200,6644,0,0
2015,0,0,5-year average for fatal collisions,All,Census Tracts,53033005302,5178,0,0
2015,0,0,5-year average for fatal collisions,All,Census Tracts,53033005400,5022,0,0
2015,0,0,5-year average for fatal collisions,All,Census Tracts,53033005600,6424,0,0
2015,0,0,5-year average for fatal collisions,All,Census Tracts,53033005802,5216,0,0
2015,0,0,5-year average for fatal collisions,All,Census Tracts,53033006200,4063,0,0
2015,0,0,5-year average for fatal collisions,All,Census Tracts,53033006600,3585,0,0
2015,0,0,5-year average for fatal collisions,All,Census Tracts,53033006700,7600,0,0
2015,0,0,5-year average for fatal collisions,All,Census Tracts,53033007100,3780,0,0
2015,0,0,5-year average for fatal collisions,All,Census Tracts,53033007200,6798,0,0
2015,0,0,5-year average for fatal collisions,All,Census Tracts,53033007300,5594,0,0
2015,0,0,5-year average for fatal collisions,All,Census Tracts,53033007500,7783,0,0
2015,0,0,5-year average for fatal collisions,All,Census Tracts,53033007700,5123,0,0
2015,0,0,5-year average for fatal collisions,All,Census Tracts,53033008001,5967,0,0
2015,0,0,5-year average for fatal collisions,All,Census Tracts,53033008100,4435,0,0
2015,0,0,5-year average for fatal collisions,All,Census Tracts,53033008200,3866,0,0
2015,0,0,5-year average for fatal collisions,All,Census Tracts,53033008300,2794,0,0
2015,0,0,5-year average for fatal collisions,All,Census Tracts,53033008500,4311,0,0
2015,0,0,5-year average for fatal collisions,All,Census Tracts,53033008900,4686,0,0
2015,0,0,5-year average for fatal collisions,All,Census Tracts,53033009000,3478,0,0
2015,0,0,5-year average for fatal collisions,All,Census Tracts,53033009100,2693,0,0
2015,0,0,5-year average for fatal collisions,All,Census Tracts,53033009200,2637,0,0
2015,3,3,5-year average for fatal collisions,All,Census Tracts,53033009300,2832,105.9322033898305,105.9322033898305
2015,0,0,5-year average for fatal collisions,All,Census Tracts,53033009400,5824,0,0
2015,0,0,5-year average for fatal collisions,All,Census Tracts,53033009500,6301,0,0
2015,0,0,5-year average for fatal collisions,All,Census Tracts,53033010001,4207,0,0
2015,0,0,5-year average for fatal collisions,All,Census Tracts,53033010402,5218,0,0
2015,0,0,5-year average for fatal collisions,All,Census Tracts,53033010500,6631,0,0
2015,0,0,5-year average for fatal collisions,All,Census Tracts,53033010600,8079,0,0
2015,0,0,5-year average for fatal collisions,All,Census Tracts,53033010800,4670,0,0
2015,0,0,5-year average for fatal collisions,All,Census Tracts,53033010900,1055,0,0
2015,0,0,5-year average for fatal collisions,All,Census Tracts,53033011001,4932,0,0
2015,0,0,5-year average for fatal collisions,All,Census Tracts,53033011002,4722,0,0
2015,0,0,5-year average for fatal collisions,All,Census Tracts,53033011101,5096,0,0
2015,0,0,5-year average for fatal collisions,All,Census Tracts,53033011102,4681,0,0
2015,0,0,5-year average for fatal collisions,All,Census Tracts,53033011200,4174,0,0
2015,0,0,5-year average for fatal collisions,All,Census Tracts,53033011401,4041,0,0
2015,0,0,5-year average for fatal collisions,All,Census Tracts,53033011700,5456,0,0
2015,0,0,5-year average for fatal collisions,All,Census Tracts,53033011800,8010,0,0
2015,0,0,5-year average for fatal collisions,All,Census Tracts,53033011900,7428,0,0
2015,0,0,5-year average for fatal collisions,All,Census Tracts,53033020500,6119,0,0
2015,0,0,5-year average for fatal collisions,All,Census Tracts,53033020600,3612,0,0
2015,0,0,5-year average for fatal collisions,All,Census Tracts,53033020800,4225,0,0
2015,0,0,5-year average for fatal collisions,All,Census Tracts,53033021000,5686,0,0
2015,0,0,5-year average for fatal collisions,All,Census Tracts,53033021500,4516,0,0
2015,0,0,5-year average for fatal collisions,All,Census Tracts,53033021600,4911,0,0
2015,0,0,5-year average for fatal collisions,All,Census Tracts,53033021700,8618,0,0
2015,0,0,5-year average for fatal collisions,All,Census Tracts,53033021804,4684,0,0
2015,1,0,5-year average for fatal collisions,All,Census Tracts,53033021903,5787,17.280110592707793,0
2015,0,0,5-year average for fatal collisions,All,Census Tracts,53033021906,4132,0,0
2015,0,0,5-year average for fatal collisions,All,Census Tracts,53033022001,5009,0,0
2015,0,0,5-year average for fatal collisions,All,Census Tracts,53033022005,4891,0,0
2015,0,0,5-year average for fatal collisions,All,Census Tracts,53033022101,4740,0,0
2015,0,0,5-year average for fatal collisions,All,Census Tracts,53033022102,6331,0,0
2015,0,0,5-year average for fatal collisions,All,Census Tracts,53033022201,4483,0,0
2015,0,0,5-year average for fatal collisions,All,Census Tracts,53033022203,5030,0,0
2015,0,0,5-year average for fatal collisions,All,Census Tracts,53033022500,7290,0,0
2015,0,0,5-year average for fatal collisions,All,Census Tracts,53033022604,4532,0,0
2015,0,0,5-year average for fatal collisions,All,Census Tracts,53033022605,6162,0,0
2015,0,0,5-year average for fatal collisions,All,Census Tracts,53033022606,5981,0,0
2015,0,0,5-year average for fatal collisions,All,Census Tracts,53033022703,2273,0,0
2015,0,0,5-year average for fatal collisions,All,Census Tracts,53033022802,4772,0,0
2015,0,0,5-year average for fatal collisions,All,Census Tracts,53033022803,5362,0,0
2015,0,0,5-year average for fatal collisions,All,Census Tracts,53033023100,4032,0,0
2015,0,0,5-year average for fatal collisions,All,Census Tracts,53033023202,4698,0,0
2015,0,0,5-year average for fatal collisions,All,Census Tracts,53033023401,3550,0,0
2015,0,0,5-year average for fatal collisions,All,Census Tracts,53033023404,3308,0,0
2015,0,0,5-year average for fatal collisions,All,Census Tracts,53033023500,3672,0,0
2015,0,0,5-year average for fatal collisions,All,Census Tracts,53033023601,3854,0,0
2015,0,0,5-year average for fatal collisions,All,Census Tracts,53033023603,6278,0,0
2015,0,0,5-year average for fatal collisions,All,Census Tracts,53033023604,6241,0,0
2015,0,0,5-year average for fatal collisions,All,Census Tracts,53033023801,2232,0,0
2015,0,0,5-year average for fatal collisions,All,Census Tracts,53033023803,5036,0,0
2015,0,0,5-year average for fatal collisions,All,Census Tracts,53033023804,6161,0,0
2015,0,0,5-year average for fatal collisions,All,Census Tracts,53033023900,7013,0,0
2015,0,0,5-year average for fatal collisions,All,Census Tracts,53033024000,7880,0,0
2015,0,0,5-year average for fatal collisions,All,Census Tracts,53033024100,4830,0,0
2015,0,0,5-year average for fatal collisions,All,Census Tracts,53033024500,5003,0,0
2015,0,0,5-year average for fatal collisions,All,Census Tracts,53033024701,3866,0,0
2015,0,0,5-year average for fatal collisions,All,Census Tracts,53033024702,7791,0,0
2015,0,0,5-year average for fatal collisions,All,Census Tracts,53033024800,5666,0,0
2015,0,0,5-year average for fatal collisions,All,Census Tracts,53033025003,6979,0,0
2015,0,0,5-year average for fatal collisions,All,Census Tracts,53033025005,4696,0,0
2015,0,0,5-year average for fatal collisions,All,Census Tracts,53033025101,5584,0,0
2015,0,0,5-year average for fatal collisions,All,Census Tracts,53033025102,7729,0,0
2015,0,0,5-year average for fatal collisions,All,Census Tracts,53033025301,5691,0,0
2015,0,0,5-year average for fatal collisions,All,Census Tracts,53033025302,5263,0,0
2015,0,0,5-year average for fatal collisions,All,Census Tracts,53033025400,7245,0,0
2015,0,0,5-year average for fatal collisions,All,Census Tracts,53033025601,5113,0,0
2015,0,0,5-year average for fatal collisions,All,Census Tracts,53033025602,6470,0,0
2015,0,0,5-year average for fatal collisions,All,Census Tracts,53033025804,3840,0,0
2015,0,0,5-year average for fatal collisions,All,Census Tracts,53033025806,4811,0,0
2015,0,0,5-year average for fatal collisions,All,Census Tracts,53033026002,8967,0,0
2015,0,0,5-year average for fatal collisions,All,Census Tracts,53033026100,6552,0,0
2015,1,1,5-year average for fatal collisions,All,Census Tracts,53033026200,5645,17.71479185119575,17.71479185119575
2015,0,0,5-year average for fatal collisions,All,Census Tracts,53033026300,1587,0,0
2015,1,0,5-year average for fatal collisions,All,Census Tracts,53033026400,5711,17.51006828926633,0
2015,0,0,5-year average for fatal collisions,All,Census Tracts,53033026600,2840,0,0
2015,0,0,5-year average for fatal collisions,All,Census Tracts,53033026700,5056,0,0
2015,0,0,5-year average for fatal collisions,All,Census Tracts,53033026801,5530,0,0
2015,0,0,5-year average for fatal collisions,All,Census Tracts,53033027000,3552,0,0
2015,0,0,5-year average for fatal collisions,All,Census Tracts,53033027200,2545,0,0
2015,0,0,5-year average for fatal collisions,All,Census Tracts,53033027300,6205,0,0
2015,0,0,5-year average for fatal collisions,All,Census Tracts,53033027400,5079,0,0
2015,0,0,5-year average for fatal collisions,All,Census Tracts,53033027500,4828,0,0
2015,0,0,5-year average for fatal collisions,All,Census Tracts,53033027600,4955,0,0
2015,0,0,5-year average for fatal collisions,All,Census Tracts,53033027701,5565,0,0
2015,0,0,5-year average for fatal collisions,All,Census Tracts,53033027702,4624,0,0
2015,0,0,5-year average for fatal collisions,All,Census Tracts,53033027900,7322,0,0
2015,0,0,5-year average for fatal collisions,All,Census Tracts,53033028000,4029,0,0
2015,0,0,5-year average for fatal collisions,All,Census Tracts,53033028100,2439,0,0
2015,1,1,5-year average for fatal collisions,All,Census Tracts,53033028200,4989,20.044097013429546,20.044097013429546
2015,1,0,5-year average for fatal collisions,All,Census Tracts,53033028300,5018,19.928258270227182,0
2015,0,0,5-year average for fatal collisions,All,Census Tracts,53033028402,4793,0,0
2015,0,0,5-year average for fatal collisions,All,Census Tracts,53033028500,3885,0,0
2015,0,0,5-year average for fatal collisions,All,Census Tracts,53033028801,2981,0,0
2015,0,0,5-year average for fatal collisions,All,Census Tracts,53033028901,3475,0,0
2015,0,0,5-year average for fatal collisions,All,Census Tracts,53033029003,5950,0,0
2015,0,0,5-year average for fatal collisions,All,Census Tracts,53033029004,3706,0,0
2015,0,0,5-year average for fatal collisions,All,Census Tracts,53033029101,2958,0,0
2015,0,0,5-year average for fatal collisions,All,Census Tracts,53033029102,4017,0,0
2015,0,0,5-year average for fatal collisions,All,Census Tracts,53033029204,7152,0,0
2015,1,1,5-year average for fatal collisions,All,Census Tracts,53033029206,4288,23.32089552238806,23.32089552238806
2015,0,0,5-year average for fatal collisions,All,Census Tracts,53033029303,7493,0,0
2015,0,0,5-year average for fatal collisions,All,Census Tracts,53033029306,3368,0,0
2015,0,0,5-year average for fatal collisions,All,Census Tracts,53033029405,5781,0,0
2015,0,0,5-year average for fatal collisions,All,Census Tracts,53033029406,5171,0,0
2015,0,0,5-year average for fatal collisions,All,Census Tracts,53033029407,4591,0,0
